,carat,cut,color,clarity,depth,table,price,x,y,z
0,0.83,Premium,F,VS2,60.2,60.0,3495,6.09,6.04,3.65
1,1.25,Premium,H,SI1,60.7,58.0,5027,7.04,6.99,4.26
2,0.41,Premium,D,SI1,60.5,60.0,791,4.77,4.81,2.9
3,0.31,Good,H,VS2,63.1,57.0,489,4.28,4.31,2.71
4,0.3,Ideal,G,IF,62.2,55.0,844,4.3,4.32,2.68
5,0.41,Ideal,F,VVS2,62.3,56.0,1115,4.73,4.77,2.96
6,0.55,Ideal,H,VVS2,61.9,56.0,1668,5.22,5.25,3.24
7,0.25,Ideal,G,VS2,61.4,57.0,459,4.08,4.1,2.51
8,0.3,Premium,H,VS2,62.6,58.0,608,4.28,4.22,2.66
9,0.29,Very Good,F,VS1,59.1,60.0,504,4.33,4.36,2.57
10,0.8,Premium,E,SI2,60.2,57.0,2829,6.05,6.01,3.63
11,2.01,Premium,I,SI1,60.1,59.0,14558,8.24,8.19,4.94
12,0.46,Ideal,J,VS2,61.4,56.0,746,4.96,5.0,3.06
13,1.59,Very Good,D,SI2,59.9,59.0,10685,7.6,7.52,4.53
14,0.79,Ideal,F,SI1,60.8,55.0,3210,5.98,6.05,3.66
15,0.41,Very Good,F,VS1,62.9,57.0,889,4.7,4.74,2.97
16,0.52,Good,G,SI1,63.6,56.0,1244,5.07,5.09,3.23
17,0.3,Very Good,G,VVS2,63.1,56.0,878,4.23,4.2,2.66
18,0.35,Ideal,D,VS2,60.5,56.0,707,4.6,4.63,2.79
19,0.46,Fair,H,VS2,65.6,58.0,830,4.8,4.84,3.16
20,1.03,Premium,D,SI2,61.8,60.0,4560,6.45,6.42,3.98
21,0.34,Ideal,G,IF,61.9,54.0,1084,4.49,4.46,2.77
22,1.56,Ideal,I,VS2,62.5,57.0,9295,7.4,7.36,4.63
23,0.31,Ideal,G,IF,60.2,59.0,891,4.37,4.4,2.64
24,0.56,Ideal,F,VS2,62.3,55.0,1729,5.32,5.28,3.3
25,0.54,Ideal,F,SI2,61.8,56.0,1065,5.26,5.29,3.26
26,1.04,Premium,G,SI1,60.3,58.0,3780,6.6,6.55,3.96
27,0.81,Good,D,SI2,63.6,55.0,2926,5.91,5.86,3.74
28,0.75,Very Good,E,SI1,63.0,55.0,2753,5.76,5.79,3.64
29,0.43,Ideal,H,SI1,62.4,56.0,919,4.83,4.81,3.01
30,0.5,Very Good,E,SI1,61.1,55.0,1337,5.1,5.15,3.13
31,1.0,Premium,G,SI2,60.7,59.0,3427,6.45,6.41,3.9
32,0.71,Ideal,F,SI2,61.6,56.0,2202,5.68,5.74,3.52
33,0.34,Ideal,D,SI1,60.1,57.0,803,4.56,4.52,2.73
34,0.33,Ideal,H,SI2,61.1,57.0,433,4.46,4.48,2.73
35,1.02,Premium,E,SI2,62.9,56.0,4478,6.43,6.36,4.02
36,1.01,Very Good,F,SI1,62.7,56.0,4812,6.37,6.39,4.0
37,1.2,Ideal,G,SI1,61.8,59.0,6762,6.77,6.8,4.19
38,0.82,Premium,E,SI2,61.7,59.0,2861,6.01,5.98,3.7
39,0.51,Very Good,F,SI2,62.3,55.0,1243,5.13,5.15,3.2
40,2.01,Good,G,SI1,60.3,60.0,18625,8.07,8.18,4.9
41,1.0,Very Good,F,SI2,61.7,58.0,3789,6.32,6.36,3.91
42,0.3,Ideal,G,VVS1,61.8,57.0,764,4.32,4.36,2.68
43,1.53,Very Good,G,VS1,62.8,56.0,12654,7.31,7.37,4.61
44,0.3,Premium,D,SI2,62.9,58.0,574,4.29,4.26,2.69
45,0.9,Premium,F,I1,61.9,59.0,2316,6.18,6.16,3.82
46,0.91,Premium,E,SI2,62.8,59.0,3898,6.16,6.13,3.86
47,0.41,Premium,E,SI1,61.5,61.0,904,4.78,4.75,2.93
48,1.06,Very Good,H,VS1,61.9,58.0,5627,6.57,6.49,4.04
49,0.3,Very Good,D,SI1,63.2,56.0,709,4.27,4.24,2.69
50,0.3,Ideal,I,VS1,61.0,56.0,608,4.37,4.35,2.66
51,1.01,Ideal,G,VS2,60.1,55.0,6512,6.53,6.58,3.94
52,0.7,Very Good,E,SI1,60.9,59.0,2537,5.67,5.76,3.48
53,0.31,Ideal,H,SI1,62.7,56.0,446,4.33,4.38,2.73
54,0.6,Premium,D,SI1,61.6,58.0,1896,5.42,5.45,3.35
55,1.04,Ideal,G,VS2,59.4,58.0,6286,6.63,6.67,3.95
56,0.33,Ideal,D,VS2,61.8,56.0,781,4.45,4.48,2.76
57,1.07,Ideal,I,VS1,62.2,58.0,5103,6.52,6.57,4.07
58,0.7,Good,H,SI1,63.7,59.0,2335,5.59,5.53,3.54
59,0.71,Ideal,E,SI1,61.7,56.0,2663,5.72,5.75,3.54
60,0.4,Very Good,D,VS1,62.9,56.0,1123,4.67,4.71,2.95
61,0.3,Ideal,E,VS1,60.7,57.0,911,4.36,4.31,2.63
62,0.43,Ideal,G,IF,61.7,57.0,1286,4.83,4.86,2.99
63,0.32,Ideal,D,SI1,62.8,56.0,756,4.35,4.34,2.73
64,0.62,Ideal,G,VS1,62.0,56.0,2173,5.45,5.49,3.39
65,1.39,Premium,E,SI2,62.7,58.0,7445,7.11,6.99,4.42
66,0.5,Premium,G,SI2,58.6,61.0,1078,5.21,5.16,3.04
67,1.7,Premium,I,VS2,61.3,59.0,9330,7.69,7.59,4.68
68,1.73,Very Good,H,VS2,59.2,61.0,13102,7.78,7.82,4.62
69,0.32,Ideal,H,VS2,62.0,57.0,505,4.35,4.39,2.71
70,0.57,Very Good,E,VS2,62.1,59.0,1807,5.29,5.27,3.28
71,1.01,Premium,F,VS2,62.2,60.0,6533,6.4,6.37,3.97
72,1.21,Ideal,F,VS2,62.4,59.0,8691,6.82,6.77,4.24
73,0.7,Good,D,SI1,64.2,60.0,2298,5.59,5.62,3.6
74,0.36,Very Good,E,SI1,63.5,58.0,593,4.46,4.49,2.84
75,1.01,Very Good,D,SI2,62.0,57.0,5656,6.41,6.46,3.99
76,0.38,Ideal,F,VVS2,60.8,58.0,963,4.69,4.72,2.86
77,0.41,Premium,J,VVS1,60.1,58.0,994,4.83,4.79,2.89
78,0.51,Ideal,D,VS2,62.5,56.0,2056,5.13,5.11,3.2
79,0.35,Premium,H,VVS1,62.1,58.0,798,4.46,4.52,2.79
80,1.01,Very Good,I,SI1,63.3,59.0,2730,6.26,6.22,3.95
81,0.33,Ideal,G,VVS2,61.7,55.0,730,4.46,4.49,2.76
82,0.54,Ideal,D,SI1,61.5,56.0,1662,5.23,5.25,3.22
83,1.01,Ideal,F,SI1,62.3,55.0,5140,6.37,6.44,3.99
84,1.71,Ideal,G,VVS2,62.1,55.0,18599,7.63,7.66,4.75
85,0.81,Very Good,I,VS2,62.6,59.7,2444,5.86,5.92,3.69
86,0.63,Premium,E,SI2,58.9,59.0,1169,5.64,5.6,3.31
87,0.77,Very Good,I,VS1,62.2,59.0,2682,5.83,5.85,3.63
88,0.9,Very Good,J,SI1,63.8,56.0,3061,6.11,6.14,3.91
89,2.55,Premium,I,SI2,62.9,58.0,14351,8.7,8.59,5.44
90,1.0,Good,F,SI1,62.5,57.0,4504,6.28,6.39,3.96
91,1.22,Premium,H,SI1,61.0,59.0,4829,6.92,6.86,4.2
92,0.9,Good,E,SI1,59.8,64.0,4229,6.14,6.21,3.69
93,1.57,Ideal,J,SI1,62.0,55.6,8035,7.43,7.47,4.62
94,1.51,Very Good,F,SI2,62.7,60.0,8581,7.25,7.32,4.57
95,0.75,Premium,E,SI1,61.1,59.0,2814,5.86,5.83,3.57
96,2.06,Very Good,F,SI2,61.5,56.0,16603,8.15,8.18,5.02
97,0.3,Ideal,E,VS2,61.7,55.0,844,4.32,4.3,2.66
98,1.0,Very Good,D,VS2,61.2,60.0,6937,6.4,6.42,3.92
99,0.53,Ideal,H,SI1,62.6,56.0,1077,5.28,5.1,3.25
100,0.44,Good,D,VVS1,59.2,57.0,2250,4.96,5.0,2.95
101,2.0,Very Good,I,SI2,63.7,61.0,12221,7.85,7.97,5.04
102,1.06,Premium,F,SI1,62.4,58.0,4862,6.56,6.51,4.07
103,0.75,Fair,E,VS2,56.0,67.0,2940,6.18,6.08,3.43
104,1.02,Very Good,E,VS1,60.5,60.0,7738,6.49,6.54,3.94
105,1.06,Ideal,H,SI1,61.4,55.0,5194,6.62,6.58,4.05
106,1.01,Premium,E,VS2,62.4,60.0,6488,6.39,6.43,4.0
107,0.42,Premium,E,SI1,60.0,58.0,926,4.89,4.85,2.92
108,1.02,Premium,G,SI1,61.7,58.0,5169,6.47,6.37,3.96
109,1.0,Premium,F,VS2,62.9,59.0,6296,6.47,6.4,4.02
110,0.7,Ideal,H,SI1,61.8,53.0,2499,5.71,5.74,3.54
111,0.28,Ideal,F,VS2,61.8,54.0,490,4.18,4.23,2.6
112,0.32,Ideal,G,SI1,62.3,57.0,508,4.38,4.41,2.74
